Stop,Business Name,Location,City,Notes,Date,Facility Type,Follow-up Needed,Lead,Client
1,,1630 E Cheyenne Mountain Blvd,Colorado Springs,Cookie stop,2025-03-06 00:00:00,,,,
2,Colorado Springs Orthopaedic Group,1259 Lake Plaza Dr Unit 100,Colorado Springs,,2025-03-06 00:00:00,,,,
3,Summit Home Health Care,1160 Lake Plaza Dr Ste 255,Colorado Springs,,2025-03-06 00:00:00,,,,
4,Pikes Peak Hospice & Palliative Care,2550 Tenderfoot Hill St,Colorado Springs,,2025-03-06 00:00:00,,,,
5,Mountain View Post Acute,835 Tenderfoot Hill Rd,Colorado Springs,,2025-03-06 00:00:00,,,,
6,Professional Home Health Care,1140 S Eighth St,Colorado Springs,,2025-03-06 00:00:00,,,,
7,The Independence Center,729 S Tejon St,Colorado Springs,Super grateful and excited to read about / reach out for our services,2025-03-06 00:00:00,,,,
8,American Legion Post 5,15 E Platte Ave,Colorado Springs,No answer again.,2025-03-06 00:00:00,,,,
9,UCHealth Memorial Hospital Central,1400 E Boulder St,Colorado Springs,,2025-03-06 00:00:00,,,,
10,Life Care Center of Colorado Springs,2490 International Cir,Colorado Springs,Natasha at front desk was super helpful with connecting me with the case managers,2025-03-06 00:00:00,,,,
11,Advanced Health Care of Colorado Springs,55 S Parkside Dr,Colorado Springs,A bit busy again but was able to leave a good impression still,2025-03-06 00:00:00,,,,
12,Flagship Health,3210 N Academy Blvd Ste 1,Colorado Springs,Elka at the front desk was super interested...,2025-03-06 00:00:00,,,,
13,,1625 S Murray Blvd,Colorado Springs,Great opportunity to network more! 1200-1400 attendees he said,2025-03-06 00:00:00,,,,
14,Fountain Valley Senior Center,5725 Southmoor Dr,Fountain,"Not interested at all, quite rude...",2025-03-06 00:00:00,,,,
15,American Legion Post 38,6685 Southmoor Dr,Fountain,,2025-03-06 00:00:00,,,,
16,UCHealth Endocrinology Clinic - Grandview,5818 N Nevada Ave Ste 225,Colorado Springs,,2025-03-07 00:00:00,,,,
17,Maxim Healthcare Services,7150 Campus Dr Ste 160,Colorado Springs,Was in meeting again but definitely interested in connecting more,2025-03-07 00:00:00,,,,
18,,5225 N Academy Blvd #106,Colorado Springs,Passed on to supervisor. They don't let ya in the door,2025-03-07 00:00:00,,,,
19,Benefit Health Care,5426 N Academy Blvd Ste 200,Colorado Springs,Potential other client in same building,2025-03-07 00:00:00,,,,
20,,5373 N Union Blvd,Colorado Springs,"Closed in co springs, removing off route",2025-03-07 00:00:00,,,,
21,Gentiva Hospice,6270 Lehman Dr #150,Colorado Springs,Was able to meet patient manager and told her we would be in touch,2025-03-07 00:00:00,,,,
22,Better Healthcare,6208 Lehman Dr Unit 201,Colorado Springs,,2025-03-07 00:00:00,,,,
23,Bristol Hospice,7660 Goddard St #100,Colorado Springs,,2025-03-07 00:00:00,,,,
24,,1155 Kelly Johnson Blvd Ste 205,Colorado Springs,No longer at this location. Removing from route,2025-03-07 00:00:00,,,,
25,Corporate Pointe Medical Center,1975 Research Pkwy #300,Colorado Springs,,2025-03-07 00:00:00,,,,
26,Colorado Springs Orthopaedic Group,4110 Briargate Pkwy,Colorado Springs,Ortho group sent me to their surgery floor and said we'd have better luck connecting with someone who does more of that stuff,2025-03-07 00:00:00,,,,
27,UCHealth Memorial Hospital North,4050 Briargate Pkwy,Colorado Springs,,2025-03-07 00:00:00,,,,
28,The Center at Cordera,9208 Grand Cordera Pkwy,Colorado Springs,Got to meet admissions coordinator Brenna and she said she will pass it onto case managers. They may be interested in the respite care,2025-03-07 00:00:00,,,,
29,Penrose St. Francis Hospital,6001 E Woodmen Rd,Colorado Springs,Lead case manager Gail Abeyta,2025-03-07 00:00:00,,,,
30,Voyager Home Health Care,2233 Academy Pl Ste 105,Colorado Springs,,2025-03-18 00:00:00,,,,
31,CenterCare Home Health,1155 Kelly Johnson Blvd Ste 205,Colorado Springs,,2025-03-18 00:00:00,,,,
32,CenterCare Home Health,1155 Kelly Johnson Blvd Ste 205,Colorado Springs,Leslie is who spoke with Jason,2025-03-18 00:00:00,,,,
33,Gentiva Hospice,6270 Lehman Dr #150,Colorado Springs,,2025-03-18 00:00:00,,,,
34,Better Healthcare,6208 Lehman Dr Unit 201,Colorado Springs,,2025-03-18 00:00:00,,,,
35,,5426 N Academy Blvd #200,Colorado Springs,,2025-03-18 00:00:00,,,,
36,Peak Vista Community Health Centers,3225 Austin Bluffs Pkwy Ste 200,Colorado Springs,3204 in same building as mountain ridge now,2025-03-18 00:00:00,,,,
37,American Legion Post 209,3613 Jeannine Dr,Colorado Springs,,2025-03-18 00:00:00,,,,
38,Mountain Ridge Hospice,3204 N Academy Blvd Unit 110,Colorado Springs,,2025-03-18 00:00:00,,,,
39,,5850 Championship View,Colorado Springs,,2025-03-18 00:00:00,,,,
40,Penrose St. Francis Hospital,6001 E Woodmen Rd,Colorado Springs,Tracy is who we want to speak with here,2025-03-18 00:00:00,,,,
41,The Center at Cordera,9208 Grand Cordera Pkwy,Colorado Springs,,2025-03-18 00:00:00,,,,
42,Colorado Springs Orthopaedic Group,4110 Briargate Pkwy,Colorado Springs,,2025-03-18 00:00:00,,,,
